elapsed_s,stream,joint,deg
42.8273,maxon,left_wrist,39.724
42.8275,maxon,right_wrist,-18.359
42.8279,maxon,left_wrist,39.812
42.8281,maxon,right_wrist,-17.982
42.8285,arm,left_shoulder_2,21.790
42.8293,maxon,left_wrist,39.900
42.8295,maxon,right_wrist,-17.608
42.8305,maxon,left_wrist,39.985
42.8307,maxon,right_wrist,-17.232
42.8311,maxon,left_wrist,40.073
42.8313,maxon,right_wrist,-16.855
42.8316,neck,head_2,-14.502
42.8323,maxon,left_wrist,40.161
42.8325,maxon,right_wrist,-16.478
42.8329,maxon,left_wrist,40.236
42.8331,maxon,right_wrist,-16.089
42.8335,arm,left_elbow,-79.052
42.8335,arm,right_shoulder_2,-21.559
42.8343,maxon,left_wrist,40.309
42.8344,maxon,right_wrist,-15.697
42.8355,maxon,left_wrist,40.382
42.8357,maxon,right_wrist,-15.306
42.8361,maxon,left_wrist,40.455
42.8362,maxon,right_wrist,-14.914
42.8366,neck,head_2,-14.326
42.8367,arm,right_elbow,82.403
42.8375,maxon,left_wrist,40.528
42.8376,maxon,right_wrist,-14.525
42.8380,maxon,left_wrist,40.585
42.8382,maxon,right_wrist,-14.118
42.8392,maxon,left_wrist,40.643
42.8394,maxon,right_wrist,-13.711
42.8405,maxon,left_wrist,40.701
42.8407,maxon,right_wrist,-13.307
42.8411,maxon,left_wrist,40.759
42.8413,maxon,right_wrist,-12.900
42.8416,neck,head_2,-14.150
42.8424,maxon,left_wrist,40.819
42.8426,maxon,right_wrist,-12.496
42.8432,maxon,right_wrist,-12.074
42.8435,arm,left_elbow,-79.105
42.8442,maxon,left_wrist,40.904
42.8444,maxon,right_wrist,-11.654
42.8458,maxon,right_wrist,-11.232
42.8462,maxon,left_wrist,40.992
42.8464,maxon,right_wrist,-10.813
42.8470,maxon,right_wrist,-10.391
42.8475,neck,head_2,-14.062
42.8484,maxon,left_wrist,41.062
42.8486,maxon,right_wrist,-9.957
42.8492,maxon,right_wrist,-9.520
42.8505,maxon,left_wrist,41.120
42.8507,maxon,right_wrist,-9.085
42.8513,maxon,right_wrist,-8.648
42.8516,neck,head_2,-13.887
42.8517,arm,right_elbow,82.349
42.8524,maxon,left_wrist,41.176
42.8527,maxon,right_wrist,-8.214
42.8534,maxon,right_wrist,-7.762
